Unique-id,namea,OffTask,Avgright,Avgbug,Avghelp,Avgchoice,Avgstring,Avgnumber,Avgpoint,Avgpchange,Avgtime,AvgtimeSDnormed,Avgtimelast3SDnormed,Avgtimelast5SDnormed,Avgnotright,Avghowmanywrong-up,Avghelppct-up,Avgwrongpct-up,Avgtimeperact-up,AvgPrev3Count-up,AvgPrev5Count-up,Avgrecent8help,Avg recent5wrong,Avgmanywrong-up,AvgasymptoteA-up,AvgasymptoteB-up,right,bug,pknow-1,Pknow-2,pchange,time,timeSDnormed,timelast3SDnormed,timelast5SDnormed,notright,howmanywrong-up,wrongpct-up,timeperact-up,Prev3Count-up,Prev5Count-up, recent5wrong,manywrong-up,Behaviour,Pchange_so_far,right_so_far,pknow-1_right,Pknow-2_right,pct_wrong,tsd_wrong,conuts-prev3,conuts-prev5,tsd_prev3,tsd_prev5
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-33,stuZ5lp7k7,Y,0.0,0.0,0,0,0,0,0,1.0,0.0,-0.929410016,16.05929559,16.43133909,1.0,4.0,0,0.0,66.75,3.0,3.0,0,3.0,1.0,0,0,0,0,-1.0,0.28609832,1,0,-0.929410016,16.05929559,16.43133909,1,4,0,66.75,3,3,3,1,OFF TASK,1,1,-0.0,0.0,0.0,-0.0,3,3,48.17788677,49.294017270000005
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-34,stuZu26cso,N,1.0,0.0,0,0,0,0,0,0.0,13.4,0.58863137,-1.352401601,-1.687378407,0.0,0.0,0,0.0,9.233333333,0.0,0.0,0,0.4,0.0,0,0,1,0,0.998916343,0.998916343,0,59,5.431610942,-2.345596947,-2.576689384,0,0,0,26.66666667,0,0,0,0,ON TASK,0,0,0.998916343,0.998916343,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-35,stuZaqqbve,N,0.8,0.0,0,0,0,0,0,0.4,4.2,-0.439961395,-0.994512609,-1.284877005,0.2,0.6,0,0.4,4.233333333,0.4,0.4,0,1.8,0.0,0,0,1,0,0.769064144,0.769064144,0,2,-0.514074074,-1.208411088,-2.313488004,0,0,0,4.0,0,0,2,0,ON TASK,0,0,0.769064144,0.769064144,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-37,stuZ9idg5l,N,1.0,0.0,0,0,0,0,0,0.0,4.666666667,-0.518529913,-0.913051024,-1.534802973,0.0,0.0,0,0.0,8.05952381,0.0,0.0,0,0.0,0.0,0,0,1,0,0.999999919,0.999999919,0,11,-0.300943058,-1.343125787,-1.50540553,0,0,0,11.42857143,0,0,0,0,ON TASK,0,0,0.999999919,0.999999919,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-38,stuZr7514u,N,1.0,0.0,0,0,0,0,0,0.5,7.0,-0.317093966,0.073434035,-0.75248538,0.0,0.5,0,0.0,4.3125,0.0,0.0,0,0.5,0.0,0,0,1,0,0.988464307,0.988464307,0,12,-0.190196078,0.23962091,-1.424927494,0,0,0,5.5,0,0,0,0,ON TASK,0,0,0.988464307,0.988464307,0.0,-0.0,0,0,0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-39,stuZ4lil98,N,0.8,0.0,0,0,0,0,0,0.0,4.4,-0.376478084,-1.052909667,-1.798903246,0.2,0.2,0,0.2,7.05,0.0,0.0,0,0.0,0.0,0,0,0,0,0.965894702,0.965894702,0,7,-0.359191559,-0.923536226,-1.940719354,1,1,1,10.0,0,0,0,0,ON TASK,0,1,0.0,0.0,0.9900990099009901,-0.359191559,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-4,stuZet5bzv,N,0.5,0.0,0,0,0,0,0,0.5,18.0,-0.162564468,-0.62424141,3.08328834,0.5,3.75,0,0.5,19.41666667,0.5,1.5,0,2.25,0.25,0,0,1,0,0.988464307,0.988464307,0,61,0.346200241,-0.996458113,-1.504049414,0,0,0,43.0,0,0,2,0,ON TASK,0,0,0.988464307,0.988464307,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-40,stuZ5qilc2,N,0.75,0.25,0,0,0,0,0,0.0,15.75,0.294181816,-0.292442861,-0.19457663,0.25,0.25,0,0.25,23.6875,0.0,0.0,0,0.0,0.0,0,0,0,1,0.28609832,0.28609832,0,46,2.776840996,-1.600113731,-1.502897344,1,1,1,46.0,0,0,0,0,ON TASK,0,1,0.0,0.0,0.9900990099009901,2.776840996,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-42,stuZxoxmpe,N,1.0,0.0,0,0,0,0,0,0.0,18.0,-0.210021322,-0.877109498,-1.34069668,0.0,0.0,0,0.0,26.0,0.0,0.0,0,1.0,0.0,0,0,1,0,0.998916343,0.998916343,0,18,-0.210021322,-0.877109498,-1.34069668,0,0,0,26.0,0,0,1,0,ON TASK,0,0,0.998916343,0.998916343,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-44,stuZet5bzv,N,1.0,0.0,0,0,0,0,0,0.5,9.0,-0.400070808,-0.901199296,-1.582328032,0.0,1.5,0,0.0,13.48809524,0.5,0.5,0,1.0,0.0,0,0,1,0,0.94659377,0.94659377,0,9,-0.210558033,-0.870217149,-1.870336454,0,2,0,13.14285714,0,0,1,0,ON TASK,0,0,0.94659377,0.94659377,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-45,stuZgkj7bs,N,1.0,0.0,0,0,0,0,0,0.0,29.0,0.747642354,-0.159461575,-1.768798127,0.0,1.0,0,0.0,21.0,0.0,0.0,0,0.0,0.0,0,0,1,0,0.988464307,0.988464307,0,29,0.747642354,-0.159461575,-1.768798127,0,1,0,21.0,0,0,0,0,ON TASK,0,0,0.988464307,0.988464307,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-46,stuZbsj5kw,N,1.0,0.0,0,0,0,0,0,0.0,13.5,0.087807995,0.297068432,-0.528850983,0.0,0.5,0,0.0,8.571428571,0.0,0.0,0,0.5,0.0,0,0,1,0,0.988464307,0.988464307,0,25,0.619607843,0.463255307,-1.201293097,0,1,0,15.0,0,0,0,0,ON TASK,0,0,0.988464307,0.988464307,0.0,0.0,0,0,0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-47,stuZkagkh6,N,1.0,0.0,0,0,0,0,0,0.5,15.0,0.751995465,-0.934285714,-1.996785714,0.0,0.0,0,0.0,8.083333333,0.0,0.0,0,1.0,0.0,0,0,1,0,-1.0,0.988464307,1,22,1.586848073,-1.011428571,-1.761428571,0,0,0,10.66666667,0,0,1,0,ON TASK,1,0,-1.0,0.988464307,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-48,stuZxdul63,N,1.0,0.0,0,0,0,0,0,0.0,7.5,-0.279293081,-0.045502244,0.050131946,0.0,0.0,0,0.0,6.75,0.0,0.0,0,1.5,0.0,0,0,1,0,0.888286674,0.888286674,0,3,-0.510630073,0.04378771,-0.069974769,0,0,0,3.0,0,0,1,0,ON TASK,0,0,0.888286674,0.888286674,0.0,-0.0,0,0,0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-49,stuZ4lwb76,N,1.0,0.0,0,0,0,0,0,0.5,13.0,-0.160610726,2.582159257,1.866755314,0.0,0.5,0,0.0,13.5,0.5,0.5,0,1.0,0.0,0,0,1,0,0.888286674,0.888286674,0,12,-0.074485597,2.714106366,1.937531182,0,0,0,13.0,0,0,1,0,ON TASK,0,0,0.888286674,0.888286674,0.0,-0.0,0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-5,stuZgkj7bs,N,1.0,0.0,0,0,0,0,0,0.0,15.0,0.607987845,1.224108283,0.0,0.0,0.0,0,0.0,15.0,0.0,0.0,0,1.0,0.0,0,0,1,0,0.888286674,0.888286674,0,15,0.607987845,1.224108283,0.0,0,0,0,15.0,0,0,1,0,ON TASK,0,0,0.888286674,0.888286674,0.0,0.0,0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-52,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,23.0,0.398113883,-0.478557561,-1.187389083,0.0,0.0,0,0.0,14.66666667,0.0,0.0,0,2.0,0.0,0,0,1,0,0.998916343,0.998916343,0,23,0.398113883,-0.478557561,-1.187389083,0,0,0,14.66666667,0,0,2,0,ON TASK,0,0,0.998916343,0.998916343,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-53,stuZ5lp7k7,N,0.5,0.5,0,0,0,0,0,0.5,20.5,0.148384575,-0.073292567,1.035571849,0.5,1.0,0,0.5,20.33333333,0.5,0.5,0,0.5,0.0,0,0,1,0,-1.0,0.988464307,1,35,0.922876498,-0.333615035,0.596369579,0,1,0,34.66666667,1,1,1,0,ON TASK,1,0,-1.0,0.988464307,0.0,0.0,1,1,-0.333615035,0.596369579
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-54,stuZu26cso,N,1.0,0.0,0,0,0,0,0,0.666666667,15.33333333,0.895811123,0.877348175,2.433526298,0.0,0.0,0,0.0,14.1,1.0,1.0,0,0.0,0.0,0,0,1,0,-1.0,0.988464307,1,38,3.513798294,-0.799326113,1.960217764,0,0,0,16.8,1,1,0,0,ON TASK,1,0,-1.0,0.988464307,0.0,0.0,1,1,-0.799326113,1.960217764
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-55,stuZaqqbve,N,1.0,0.0,0,0,0,0,0,0.0,37.0,4.682729793,0.677215837,5.497662312,0.0,0.0,0,0.0,45.75,0.0,0.0,0,0.5,0.0,0,0,1,0,0.888286674,0.888286674,0,71,9.718843046,0.965229116,2.009111466,0,0,0,71.0,0,0,0,0,ON TASK,0,0,0.888286674,0.888286674,0.0,0.0,0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-57,stuZ9idg5l,N,1.0,0.0,0,0,0,0,0,0.0,8.666666667,-0.28433206,-0.375707285,-0.930677266,0.0,0.0,0,0.0,6.875132275,0.0,0.0,0,0.0,0.0,0,0,1,0,0.999999999,0.999999999,0,21,0.281604393,-0.615399084,-1.410233223,0,0,0,12.11111111,0,0,0,0,ON TASK,0,0,0.999999999,0.999999999,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-58,stuZr7514u,N,1.0,0.0,0,0,0,0,0,0.0,14.5,-0.425041241,-1.403203473,-1.928246061,0.0,0.0,0,0.0,17.75,0.0,0.0,0,1.0,0.0,0,0,1,0,0.988464307,0.988464307,0,29,0.055718475,-1.525118037,-1.919484234,0,0,0,35.5,0,0,1,0,ON TASK,0,0,0.988464307,0.988464307,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-59,stuZ4lil98,Y,1.0,0.0,0,0,0,0,0,0.0,4.0,-0.318181818,2.34489207,4.489533753,0.0,0.0,0,0.0,4.0,0.0,0.0,0,3.0,0.0,0,0,1,0,0.999999128,0.999999128,0,4,-0.318181818,2.34489207,4.489533753,0,0,0,4.0,0,0,3,0,OFF TASK,0,0,0.999999128,0.999999128,0.0,-0.0,0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-61,stuZgy46jl,N,1.0,0.0,0,0,0,0,0,0.0,5.666666667,-0.385588761,-0.366979976,-0.988133291,0.0,2.0,0,0.0,8.857142857,0.0,0.0,0,0.666666667,0.0,0,0,1,0,0.979706094,0.979706094,0,5,-0.533911672,-0.662373512,-0.998980655,0,6,0,9.571428571,0,0,0,0,ON TASK,0,0,0.979706094,0.979706094,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-62,stuZxoxmpe,N,1.0,0.0,0,0,0,0,0,0.0,8.5,-0.359698124,-1.501424137,-2.104450947,0.0,0.0,0,0.0,7.78125,0.0,0.0,0,0.0,0.0,0,0,1,0,0.888286674,0.888286674,0,24,0.136363636,-1.575156133,-2.282105483,0,0,0,24.0,0,0,0,0,ON TASK,0,0,0.888286674,0.888286674,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-63,stuZ6n5zl1,N,0.5,0.5,0,0,0,0,0,1.0,13.5,-0.155306196,-0.611555449,-1.533842664,0.5,7.0,0,2.5,11.24285714,3.0,5.0,0,5.0,1.0,0,0,1,0,-1.0,0.999999128,1,19,0.165094903,-0.669810195,-1.621224782,0,7,0,12.28571429,3,5,5,1,ON TASK,1,0,-1.0,0.999999128,0.0,0.0,3,5,-2.009430585,-8.10612391
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-64,stuZet5bzv,N,0.8,0.2,0,0,0,0,0,0.2,3.8,-0.485567809,-1.084843555,-1.709676047,0.2,0.8,0,0.4,3.866414141,0.0,0.2,0,0.8,0.0,0,0,1,0,-1.0,0.99999925,1,2,-0.720816327,-1.079267616,-2.063018941,0,2,0,3.818181818,0,1,1,0,ON TASK,1,0,-1.0,0.99999925,0.0,-0.0,0,1,-0.0,-2.063018941
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-65,stuZgkj7bs,N,1.0,0.0,0,0,0,0,0,0.0,18.0,1.199029938,-1.629293364,-2.908383868,0.0,0.0,0,0.0,5.5,0.0,0.0,0,3.0,0.0,0,0,1,0,0.998916343,0.998916343,0,18,1.199029938,-1.629293364,-2.908383868,0,0,0,5.5,0,0,3,0,ON TASK,0,0,0.998916343,0.998916343,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-67,stuZkagkh6,N,0.0,1.0,0,0,0,0,0,0.0,33.0,0.816050026,3.53083498,2.090476832,1.0,5.0,0,1.0,33.0,0.0,0.0,0,1.0,0.0,0,0,0,1,0.28609832,0.28609832,0,33,0.816050026,3.53083498,2.090476832,1,5,1,33.0,0,0,1,0,ON TASK,0,1,0.0,0.0,0.1996007984031936,0.816050026,0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-68,stuZxdul63,N,0.25,0.0,0,0,0,0,0,0.75,5.5,-0.607047798,-1.415114909,-1.9913427,0.75,3.75,0,2.25,8.851686508,1.5,2.25,0,3.0,0.75,0,0,1,0,0.998916343,0.998916343,0,17,-0.096083026,-2.332108165,-2.885530963,0,0,0,13.33333333,0,0,3,0,ON TASK,0,0,0.998916343,0.998916343,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-69,stuZ4lwb76,N,1.0,0.0,0,0,0,0,0,0.0,29.0,1.300261622,-0.970218503,-1.458168273,0.0,0.0,0,0.0,38.0,0.0,0.0,0,0.0,0.0,0,0,1,0,0.888286674,0.888286674,0,29,1.300261622,-0.970218503,-1.458168273,0,0,0,38.0,0,0,0,0,ON TASK,0,0,0.888286674,0.888286674,0.0,0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-7,stuZkagkh6,Y,0.0,0.0,0,0,0,0,0,1.0,10.0,-0.314781297,0.0,0.0,1.0,2.0,0,1.0,10.0,1.0,1.0,0,1.0,0.0,0,0,0,0,-1.0,0.28609832,1,10,-0.314781297,0.0,0.0,1,2,1,10.0,1,1,1,0,OFF TASK,1,1,-0.0,0.0,0.49751243781094534,-0.314781297,1,1,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-71,stuZjsrh2j,N,0.8,0.2,0,0,0,0,0,0.0,4.4,-0.496140077,-1.19782616,-0.397594184,0.2,0.2,0,0.2,7.8,0.0,0.0,0,0.0,0.0,0,0,0,1,0.28609832,0.28609832,0,9,-0.417452549,-1.26188914,-2.51947812,1,1,1,9.0,0,0,0,0,ON TASK,0,1,0.0,0.0,0.9900990099009901,-0.417452549,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-72,stuZ77be0l,N,1.0,0.0,0,0,0,0,0,0.0,6.0,-0.48665169,-0.99152934,-1.892369665,0.0,1.666666667,0,0.0,7.353535354,0.0,0.0,0,0.0,0.0,0,0,1,0,0.988464307,0.988464307,0,14,-0.099670611,-1.636880203,-2.246276688,0,5,0,11.0,0,0,0,0,ON TASK,0,0,0.988464307,0.988464307,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-73,stuZ5lp7k7,N,1.0,0.0,0,0,0,0,0,0.0,6.5,-0.286190476,3.47678201,5.966620501,0.0,0.0,0,0.0,8.333333333,0.0,0.0,0,0.0,0.0,0,0,1,0,0.999899152,0.999899152,0,6,-0.286666667,-0.498234521,6.229101828,0,0,0,8.0,0,0,0,0,ON TASK,0,0,0.999899152,0.999899152,0.0,-0.0,0,0,-0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-74,stuZu26cso,N,1.0,0.0,0,0,0,0,0,0.0,21.0,0.553253927,2.67199469,2.161804473,0.0,0.0,0,0.0,19.0,0.0,0.0,0,1.0,0.0,0,0,1,0,0.999899152,0.999899152,0,21,0.553253927,2.67199469,2.161804473,0,0,0,19.0,0,0,1,0,ON TASK,0,0,0.999899152,0.999899152,0.0,0.0,0,0,0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-76,stuZc8lpaw,N,0.75,0.0,0,0,0,0,0,1.0,7.75,0.043351942,-0.359204111,0.675579575,0.25,0.5,0,0.25,8.872420635,0.5,0.5,0,2.25,0.0,0,0,1,0,-1.0,0.988464307,1,19,1.446849633,-1.273441865,-1.372549491,0,1,0,9.2,1,1,3,0,ON TASK,1,0,-1.0,0.988464307,0.0,0.0,1,1,-1.273441865,-1.372549491
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-77,stuZ9idg5l,N,1.0,0.0,0,0,0,0,0,0.4,3.8,-0.543920504,-1.612849248,-2.413762917,0.0,1.2,0,0.0,4.173856209,0.6,0.6,0,0.0,0.0,0,0,1,0,0.999999994,0.999999994,0,5,-0.589184474,-1.691125434,-2.808984772,0,2,0,6.555555556,0,0,0,0,ON TASK,0,0,0.999999994,0.999999994,0.0,-0.0,0,0,-0.0,-0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-78,stuZr7514u,N,1.0,0.0,0,0,0,0,0,0.0,18.0,0.352674897,-0.404690415,0.196861428,0.0,0.0,0,0.0,37.5,0.0,0.0,0,0.0,0.0,0,0,1,0,0.999899152,0.999899152,0,18,0.352674897,-0.404690415,0.196861428,0,0,0,37.5,0,0,0,0,ON TASK,0,0,0.999899152,0.999899152,0.0,0.0,0,0,-0.0,0.0
awagner-closeloop-ins_h1zaz4-03.30.2011_at_13:53:11-1301507591000-79,stuZ4lil98,N,0.666666667,0.333333333,0,0,0,0,0,0.666666667,6.0,-0.346226392,-0.562899481,-1.557974405,0.333333333,7.333333333,0,2.333333333,10.89869281,0.666666667,2.0,0,0.666666667,0.0,0,0,1,0,-1.0,0.999992431,1,4,-0.641098187,-0.363734836,-1.35880976,0,11,0,13.94444444,1,3,1,0,ON TASK,1,0,-1.0,0.999992431,0.0,-0.0,1,3,-0.363734836,-4.07642928
